min_angle,max_angle,radiation,view,img
13,67,90.7,-34.4,https://code4architecture.github.io/DesignExplorer---Data/img_000.png
33,74,125.68,-49.25,https://code4architecture.github.io/DesignExplorer---Data/img_001.png
23,80,115.41,-45.59,https://code4architecture.github.io/DesignExplorer---Data/img_002.png
38,71,131.41,-51.08,https://code4architecture.github.io/DesignExplorer---Data/img_003.png
29,63,108.69,-42.47,https://code4architecture.github.io/DesignExplorer---Data/img_004.png
17,61,90.64,-34.44,https://code4architecture.github.io/DesignExplorer---Data/img_005.png
40,70,133.77,-51.89,https://code4architecture.github.io/DesignExplorer---Data/img_006.png
30,80,126.3,-49.81,https://code4architecture.github.io/DesignExplorer---Data/img_007.png
28,68,111.77,-43.85,https://code4architecture.github.io/DesignExplorer---Data/img_008.png
31,81,128.92,-50.81,https://code4architecture.github.io/DesignExplorer---Data/img_009.png
31,87,134.87,-53.19,https://code4architecture.github.io/DesignExplorer---Data/img_010.png
13,79,100.3,-39.15,https://code4architecture.github.io/DesignExplorer---Data/img_011.png
14,81,103.24,-40.55,https://code4architecture.github.io/DesignExplorer---Data/img_012.png
24,79,116.01,-45.79,https://code4architecture.github.io/DesignExplorer---Data/img_013.png
30,75,121.7,-47.83,https://code4architecture.github.io/DesignExplorer---Data/img_014.png
19,61,92.78,-35.64,https://code4architecture.github.io/DesignExplorer---Data/img_015.png
24,68,105.64,-41.44,https://code4architecture.github.io/DesignExplorer---Data/img_016.png
31,70,118.44,-46.45,https://code4architecture.github.io/DesignExplorer---Data/img_017.png
34,74,127.44,-49.85,https://code4architecture.github.io/DesignExplorer---Data/img_018.png
30,79,125.57,-49.42,https://code4architecture.github.io/DesignExplorer---Data/img_019.png
20,61,94.23,-36.25,https://code4architecture.github.io/DesignExplorer---Data/img_020.png
32,67,117.17,-45.87,https://code4architecture.github.io/DesignExplorer---Data/img_021.png
31,85,132.79,-52.4,https://code4architecture.github.io/DesignExplorer---Data/img_022.png
14,74,97.48,-37.78,https://code4architecture.github.io/DesignExplorer---Data/img_023.png
28,72,115.46,-45.44,https://code4architecture.github.io/DesignExplorer---Data/img_024.png
32,70,120.08,-47.06,https://code4architecture.github.io/DesignExplorer---Data/img_025.png
31,88,135.82,-53.59,https://code4architecture.github.io/DesignExplorer---Data/img_026.png
31,61,109.81,-42.89,https://code4architecture.github.io/DesignExplorer---Data/img_027.png
20,85,115.38,-45.76,https://code4architecture.github.io/DesignExplorer---Data/img_028.png
34,68,121.35,-47.47,https://code4architecture.github.io/DesignExplorer---Data/img_029.png
15,74,98.71,-38.38,https://code4architecture.github.io/DesignExplorer---Data/img_030.png
12,61,84.42,-31.42,https://code4architecture.github.io/DesignExplorer---Data/img_031.png
